"","formid","speciesid","abundance","X","id","fish_memberid","region","site","familyid","timecode","site4","site1","comments","memberid","exp","type","geogr","geogr4","geogr1","latitude","longitude","date","stemp","btemp","btime","start","visibility","averagedepth","maxdepth","current","year","month","day","occ","exp_binary","abundance2","abund_trans","site_dmy"
"2073299",130886,96,0,1447062,1447086,20176,"TWA",34030009,17,0,3403,3,"NULL",20176,"N",1,34030009,3403,3,0,0,2001-06-13,"82","0","60","11","4","1","NULL","2",2001,6,13,0,0,1,0,"340300091362001"
"2073867",130887,96,0,1447272,1447296,10675,"TWA",34030009,53,0,3403,3,"NULL",10675,"N",1,34030009,3403,3,0,0,2001-06-13,"82","0","60","11","4","1","NULL","2",2001,6,13,0,0,1,0,"340300091362001"
"2074435",130889,96,0,1446943,1446967,20171,"TWA",34030009,53,0,3403,3,"NULL",20171,"N",1,34030009,3403,3,0,0,2001-06-13,"82","0","60","11","4","1","NULL","2",2001,6,13,0,0,1,0,"340300091362001"
"2075003",130893,96,0,1446100,1446124,20309,"TWA",34030009,53,0,3403,3,"NULL",20309,"N",1,34030009,3403,3,0,0,2001-06-13,"82","0","60","11","4","1","NULL","2",2001,6,13,0,0,1,0,"340300091362001"
"2075571",130894,96,0,1446402,1446426,20269,"TWA",34030009,53,0,3403,3,"NULL",20269,"N",1,34030009,3403,3,0,0,2001-06-13,"82","0","50","11","4","1","NULL","2",2001,6,13,0,0,1,0,"340300091362001"
"2076139",130983,96,2,3039812,3041841,18183,"TWA",33010296,64,0,3301,3,"NULL",18183,"E",1,33010296,3301,3,0,0,2004-01-19,"75","75","35","10","3","9","NULL","1",2004,1,19,1,1,3,2,"baseline"
"2076707",130984,96,2,3039856,3041885,18183,"TWA",32010023,64,0,3201,3,"NULL",18183,"E",1,32010023,3201,3,0,0,2004-01-19,"75","75","40","12","3","9","NULL","1",2004,1,19,1,1,3,2,"baseline"
"2077275",131012,96,0,1784804,1786309,18183,"TWA",33010010,53,0,3301,3,"NULL",18183,"N",1,33010010,3301,3,26.2075,-80.0558,2002-01-19,"73","73","25","9","4","12","NULL","2",2002,1,19,0,0,1,0,"baseline"
"2077843",131021,96,0,1440747,1440771,19987,"TWA",33010073,53,0,3301,3,"NULL",19987,"N",1,33010073,3301,3,0,0,2001-06-22,"84","83","32","13","5","8","NULL","2",2001,6,22,0,0,1,0,"baseline"
"2078411",131035,96,0,1446685,1446709,20311,"TWA",34030009,53,0,3403,3,"NULL",20311,"N",1,34030009,3403,3,0,0,2001-06-13,"82","0","60","11","4","1","NULL","2",2001,6,13,0,0,1,0,"340300091362001"
"2078979",131039,96,1,1440648,1440672,19987,"TWA",33010007,64,0,3301,3,"NULL",19987,"N",1,33010007,3301,3,0,0,2001-07-11,"85","82","24","11","5","8","NULL","1",2001,7,11,1,0,2,1,"baseline"
"2079547",131040,96,0,1440657,1440681,19987,"TWA",33010026,53,0,3301,3,"NULL",19987,"N",1,33010026,3301,3,0,0,2001-07-11,"85","84","37","11","5","7","NULL","1",2001,7,11,0,0,1,0,"baseline"
"2080115",131222,96,0,1503649,1503674,19840,"TWA",34050001,53,0,3405,3,"NULL",19840,"E",1,34050001,3405,3,0,0,2001-07-28,"85","84","60","12","3","1","NULL","2",2001,7,28,0,1,1,0,"baseline"
"2080683",131226,96,0,1377810,1377823,12725,"TWA",34030009,53,0,3403,3,"NULL",12725,"N",1,34030009,3403,3,0,0,2001-05-16,"78","78","51","15","4","5","NULL","3",2001,5,16,0,0,1,0,"340300091652001"
"2081251",131227,96,0,1434402,1434426,12725,"TWA",34030008,53,0,3403,3,"NULL",12725,"N",1,34030008,3403,3,0,0,2001-07-07,"85","84","56","10","3","5","NULL","3",2001,7,7,0,0,1,0,"baseline"
"2081819",131229,96,0,1434550,1434574,12725,"TWA",34030009,53,0,3403,3,"NULL",12725,"N",1,34030009,3403,3,0,0,2001-07-09,"84","84","50","10","4","6","NULL","1",2001,7,9,0,0,1,0,"baseline"
"2082387",131230,96,0,1683464,1684960,12725,"TWA",34030008,53,0,3403,3,"NULL",12725,"N",1,34030008,3403,3,0,0,2001-09-07,"0","0","58","15","3","5","NULL","3",2001,9,7,0,0,1,0,"baseline"
"2082955",131231,96,0,1683071,1684567,12725,"TWA",34030009,53,0,3403,3,"NULL",12725,"N",1,34030009,3403,3,0,0,2001-09-08,"0","0","62","9","4","4","NULL","2",2001,9,8,0,0,1,0,"baseline"
"2083523",131232,96,0,1683229,1684725,12725,"TWA",34030009,53,0,3403,3,"NULL",12725,"N",1,34030009,3403,3,0,0,2001-09-20,"82","82","65","9","5","4","NULL","2",2001,9,20,0,0,1,0,"340300092092001"
"2084091",131234,96,0,1683361,1684857,12725,"TWA",34030009,66,0,3403,3,"NULL",12725,"N",1,34030009,3403,3,0,0,2001-09-21,"0","0","62","9","3","4","NULL","2",2001,9,21,0,0,1,0,"340300092192001"
"2084659",131235,96,0,1683296,1684792,12725,"TWA",34030011,53,0,3403,3,"NULL",12725,"N",1,34030011,3403,3,0,0,2001-09-21,"0","0","58","14","3","4","NULL","2",2001,9,21,0,0,1,0,"340300112192001"
"2085227",131236,96,0,1683001,1684497,12725,"TWA",34030014,53,0,3403,3,"NULL",12725,"N",1,34030014,3403,3,0,0,2001-09-22,"0","0","64","9","4","4","NULL","3",2001,9,22,0,0,1,0,"baseline"
"2085795",131237,96,0,1682924,1684420,12725,"TWA",34030011,53,0,3403,3,"NULL",12725,"N",1,34030011,3403,3,0,0,2001-09-27,"0","0","58","9","4","4","NULL","3",2001,9,27,0,0,1,0,"baseline"
"2086363",131238,96,0,1682847,1684343,12725,"TWA",34030009,53,0,3403,3,"NULL",12725,"N",1,34030009,3403,3,0,0,2001-09-28,"84","84","58","10","4","4","NULL","2",2001,9,28,0,0,1,0,"baseline"
"2086931",131239,96,0,1721794,1723298,12725,"TWA",34030009,53,0,3403,3,"NULL",12725,"N",1,34030009,3403,3,0,0,2001-10-02,"82","82","54","9","3","4","NULL","2",2001,10,2,0,0,1,0,"baseline"
"2087499",131240,96,0,1721865,1723369,12725,"TWA",34030009,53,0,3403,3,"NULL",12725,"N",1,34030009,3403,3,0,0,2001-10-08,"0","0","53","10","4","4","NULL","3",2001,10,8,0,0,1,0,"baseline"
"2088067",131241,96,0,1721937,1723441,12725,"TWA",34030009,53,0,3403,3,"NULL",12725,"N",1,34030009,3403,3,0,0,2001-10-13,"0","0","48","11","2","4","NULL","2",2001,10,13,0,0,1,0,"baseline"
"2088635",131242,96,0,1722090,1723594,12725,"TWA",34030009,53,0,3403,3,"NULL",12725,"N",1,34030009,3403,3,0,0,2001-10-18,"0","0","58","10","3","4","NULL","2",2001,10,18,0,0,1,0,"baseline"
"2089203",131243,96,0,1722000,1723504,12725,"TWA",34030011,53,0,3403,3,"NULL",12725,"N",1,34030011,3403,3,0,0,2001-10-21,"0","0","60","9","3","5","NULL","3",2001,10,21,0,0,1,0,"baseline"
"2089771",131245,96,0,1722241,1723745,12725,"TWA",34030009,53,0,3403,3,"NULL",12725,"N",1,34030009,3403,3,0,0,2001-10-28,"81","81","52","10","3","4","NULL","2",2001,10,28,0,0,1,0,"baseline"
"2090339",131246,96,0,1722169,1723673,12725,"TWA",34030009,53,0,3403,3,"NULL",12725,"N",1,34030009,3403,3,0,0,2001-11-08,"79","79","52","11","3","4","NULL","2",2001,11,8,0,0,1,0,"baseline"
"2090907",131247,96,0,1721721,1723225,12725,"TWA",34030009,53,0,3403,3,"NULL",12725,"N",1,34030009,3403,3,0,0,2001-11-21,"0","0","47","15","2","4","NULL","3",2001,11,21,0,0,1,0,"3403000921112001"
"2091475",131248,96,0,1721646,1723150,12725,"TWA",34030009,53,0,3403,3,"NULL",12725,"N",1,34030009,3403,3,0,0,2001-11-22,"0","0","60","15","3","4","NULL","3",2001,11,22,0,0,1,0,"baseline"
"2092043",131249,96,0,1377926,1377939,12725,"TWA",34030009,53,0,3403,3,"NULL",12725,"N",1,34030009,3403,3,0,0,2001-06-03,"80","79","53","11","4","4","NULL","2",2001,6,3,0,0,1,0,"34030009362001"
"2092611",131265,96,0,2544494,2546496,25796,"TWA",34080008,66,0,3408,3,"NULL",25796,"N",1,34080008,3408,3,0,0,2003-06-15,"84","84","49","16","3","3","NULL","3",2003,6,15,0,0,1,0,"340800081562003"
"2093179",131282,96,0,2178187,2180163,18416,"TWA",34080004,53,0,3408,3,"NULL",18416,"N",1,34080004,3408,3,0,0,2002-09-14,"0","85","55","16","3","4","NULL","1",2002,9,14,0,0,1,0,"340800041492002"
"2093747",131293,96,0,1677341,1678837,21720,"TWA",33010009,53,0,3301,3,"NULL",21720,"N",1,33010009,3301,3,0,0,2001-10-25,"0","0","40","13","4","7","NULL","2",2001,10,25,0,0,1,0,"baseline"
"2094315",131324,96,0,1413524,1413538,10956,"TWA",34030009,53,0,3403,3,"NULL",10956,"E",1,34030009,3403,3,0,0,2001-04-21,"79","79","58","10","4","4","NULL","2",2001,4,21,0,1,1,0,"340300092142001"
"2094883",131325,96,0,1413594,1413608,10956,"TWA",34030009,53,0,3403,3,"NULL",10956,"E",1,34030009,3403,3,0,0,2001-04-21,"79","79","48","11","4","4","NULL","2",2001,4,21,0,1,1,0,"340300092142001"
"2095451",131326,96,0,1413661,1413675,10956,"TWA",34030007,53,0,3403,3,"NULL",10956,"E",1,34030007,3403,3,0,0,2001-05-17,"81","81","39","10","4","6","NULL","2",2001,5,17,0,1,1,0,"baseline"
"2096019",131327,96,0,1413721,1413735,5922,"TWA",34030009,53,0,3403,3,"NULL",5922,"E",1,34030009,3403,3,0,0,2001-06-03,"0","0","60","14","3","4","NULL","2",2001,6,3,0,1,1,0,"34030009362001"
"2096587",131328,96,0,1413794,1413808,5922,"TWA",34030011,53,0,3403,3,"NULL",5922,"E",1,34030011,3403,3,0,0,2001-06-03,"0","0","42","16","3","5","NULL","2",2001,6,3,0,1,1,0,"34030011362001"
"2097155",131329,96,0,1413368,1413382,10956,"TWA",34030011,53,0,3403,3,"NULL",10956,"E",1,34030011,3403,3,0,0,2001-06-03,"81","81","48","16","3","6","NULL","2",2001,6,3,0,1,1,0,"34030011362001"
"2097723",131330,96,0,1413440,1413454,10956,"TWA",34030009,53,0,3403,3,"NULL",10956,"E",1,34030009,3403,3,0,0,2001-06-03,"81","81","61","14","4","3","NULL","2",2001,6,3,0,1,1,0,"34030009362001"
"2098291",131332,96,0,1870373,1872336,5922,"TWA",34030009,53,0,3403,3,"NULL",5922,"E",1,34030009,3403,3,0,0,2002-03-03,"0","0","45","15","3","5","NULL","2",2002,3,3,0,1,1,0,"34030009332002"
"2098859",131333,96,0,1870439,1872402,5922,"TWA",34030009,53,0,3403,3,"NULL",5922,"E",1,34030009,3403,3,0,0,2002-03-03,"0","0","25","17","2","4","NULL","2",2002,3,3,0,1,1,0,"34030009332002"
"2099427",131365,96,0,1434164,1434188,8258,"TWA",34030026,53,0,3403,3,"NULL",8258,"N",1,34030026,3403,3,0,0,2001-06-23,"0","0","25","9","4","12","NULL","1",2001,6,23,0,0,1,0,"baseline"
"2099995",131368,96,0,1434184,1434208,8258,"TWA",34030009,53,0,3403,3,"NULL",8258,"N",1,34030009,3403,3,0,0,2001-06-23,"0","0","50","11","4","5","NULL","3",2001,6,23,0,0,1,0,"baseline"
"2100563",131429,96,0,1724186,1725690,20614,"TWA",34080014,53,0,3408,3,"NULL",20614,"N",1,34080014,3408,3,24.4608,-81.7668,2001-09-26,"0","0","27","19","2","9","NULL","2",2001,9,26,0,0,1,0,"baseline"
"2101131",131430,96,0,1724169,1725673,20614,"TWA",34080014,53,0,3408,3,"NULL",20614,"N",1,34080014,3408,3,24.4608,-81.7668,2001-09-12,"0","0","35","19","3","9","NULL","2",2001,9,12,0,0,1,0,"baseline"
"2101699",131432,96,0,1724236,1725740,20614,"TWA",34080010,53,0,3408,3,"NULL",20614,"N",1,34080010,3408,3,24.4638,-81.7373,2001-10-06,"0","83","31","15","2","8","NULL","3",2001,10,6,0,0,1,0,"340800106102001"
"2102267",131433,96,1,1724220,1725724,20614,"TWA",34080014,64,0,3408,3,"NULL",20614,"N",1,34080014,3408,3,24.4608,-81.7668,2001-09-30,"0","0","40","15","2","9","NULL","3",2001,9,30,1,0,2,1,"baseline"
"2102835",131443,96,0,2119451,2121423,18381,"TWA",34080021,53,0,3408,3,"NULL",18381,"E",1,34080021,3408,3,0,0,2002-08-17,"86","86","38","14","3","3","NULL","2",2002,8,17,0,1,1,0,"340800211782002"
"2103403",131444,96,1,2119424,2121396,21887,"TWA",34080021,64,0,3408,3,"NULL",21887,"N",1,34080021,3408,3,0,0,2002-08-17,"85","85","40","14","2","4","NULL","3",2002,8,17,1,0,2,1,"340800211782002"
"2103971",131445,96,0,2119616,2121588,18381,"TWA",34080021,53,0,3408,3,"NULL",18381,"E",1,34080021,3408,3,0,0,2002-08-17,"86","86","40","16","3","4","NULL","2",2002,8,17,0,1,1,0,"340800211782002"
"2104539",131447,96,0,2115494,2117466,18381,"TWA",33010023,53,0,3301,3,"NULL",18381,"E",1,33010023,3301,3,0,0,2002-08-14,"86","85","50","12","5","7","NULL","2",2002,8,14,0,1,1,0,"330100231482002"
"2105107",131448,96,2,2108931,2110903,18381,"TWA",34060002,64,0,3406,3,"NULL",18381,"E",1,34060002,3406,3,0,0,2002-08-11,"85","85","31","10","5","10","NULL","3",2002,8,11,1,1,3,2,"340600021182002"
"2105675",131452,96,0,2583503,2585505,21887,"TWA",34080001,53,0,3408,3,"NULL",21887,"N",1,34080001,3408,3,0,0,2003-08-03,"89","86","82","15","2","5","NULL","3",2003,8,3,0,0,1,0,"34080001382003"
"2106243",131453,96,0,2583099,2585101,18381,"TWA",34080001,53,0,3408,3,"NULL",18381,"E",1,34080001,3408,3,0,0,2003-07-29,"85","85","52","12","3","3","NULL","3",2003,7,29,0,1,1,0,"340800012972003"
"2106811",131518,96,0,1507949,1507974,20614,"TWA",34080001,17,0,3408,3,"NULL",20614,"N",1,34080001,3408,3,0,0,2001-07-15,"0","86","55","15","3","3","NULL","3",2001,7,15,0,0,1,0,"340800011572001"
"2107379",131523,96,1,1507560,1507585,20021,"TWA",34080021,64,0,3408,3,"NULL",20021,"N",1,34080021,3408,3,0,0,2001-08-12,"89","80","55","15","3","3","NULL","3",2001,8,12,1,0,2,1,"340800211282001"
"2107947",131524,96,0,1684304,1685800,20021,"TWA",34080010,53,0,3408,3,"NULL",20021,"N",1,34080010,3408,3,0,0,2001-09-22,"84","80","40","12","3","7","NULL","2",2001,9,22,0,0,1,0,"baseline"
"2108515",131529,96,0,2178156,2180132,18416,"TWA",34080003,53,0,3408,3,"NULL",18416,"N",1,34080003,3408,3,0,0,2002-09-14,"0","85","110","16","3","4","NULL","1",2002,9,14,0,0,1,0,"340800031492002"
"2109083",131589,96,0,1675857,1677353,21810,"TWA",21010007,53,0,2101,2,"NULL",21810,"N",1,21010007,2101,2,0,0,2001-06-16,"80","76","25","12","2","9","NULL","1",2001,6,16,0,0,1,0,"baseline"
"2109651",131618,96,1,1435233,1435257,19720,"TWA",34080001,64,0,3408,3,"NULL",19720,"N",1,34080001,3408,3,24.4803,-81.7128,2001-07-14,"0","0","54","10","3","4","NULL","2",2001,7,14,1,0,2,1,"340800011472001"
"2110219",131619,96,0,1436845,1436869,18438,"TWA",34080001,53,0,3408,3,"NULL",18438,"N",1,34080001,3408,3,24.482,-81.7068,2001-07-14,"0","0","54","10","3","4","NULL","2",2001,7,14,0,0,1,0,"340800011472001"
"2110787",131620,96,0,1436659,1436683,18438,"TWA",34080001,53,0,3408,3,"NULL",18438,"N",1,34080001,3408,3,24.4803,-81.7128,2001-07-21,"0","0","54","12","2","4","NULL","2",2001,7,21,0,0,1,0,"baseline"
"2111355",131622,96,0,1436724,1436748,18438,"TWA",34080010,53,0,3408,3,"NULL",18438,"N",1,34080010,3408,3,24.4645,-81.737,2001-07-21,"0","0","55","10","2","10","NULL","1",2001,7,21,0,0,1,0,"baseline"
"2111923",131624,96,0,1508029,1508054,18438,"TWA",34080010,53,0,3408,3,"NULL",18438,"N",1,34080010,3408,3,24.4642,-81.738,2001-07-28,"0","85","27","10","5","9","NULL","2",2001,7,28,0,0,1,0,"baseline"
"2112491",131625,96,0,1508186,1508211,18438,"TWA",34080003,53,0,3408,3,"NULL",18438,"N",1,34080003,3408,3,24.4538,-81.8735,2001-08-04,"0","0","30","12","3","4","NULL","0",2001,8,4,0,0,1,0,"34080003482001"
"2113059",131626,96,0,1508223,1508248,18438,"TWA",34080003,53,0,3408,3,"NULL",18438,"N",1,34080003,3408,3,24.4525,-81.88,2001-08-04,"0","0","31","11","3","4","NULL","3",2001,8,4,0,0,1,0,"34080003482001"
"2113627",131627,96,0,1508066,1508091,18438,"TWA",34080003,53,0,3408,3,"NULL",18438,"N",1,34080003,3408,3,24.4543,-81.8577,2001-08-11,"0","0","50","10","4","5","NULL","2",2001,8,11,0,0,1,0,"baseline"
"2114195",131628,96,0,1508104,1508129,18438,"TWA",34080008,53,0,3408,3,"NULL",18438,"N",1,34080008,3408,3,24.4595,-81.8467,2001-08-11,"0","0","50","11","4","4","NULL","3",2001,8,11,0,0,1,0,"baseline"
"2114763",131629,96,1,1508171,1508196,18438,"TWA",34080021,64,0,3408,3,"NULL",18438,"N",1,34080021,3408,3,24.6237,-81.9817,2001-08-12,"0","0","50","15","2","4","NULL","2",2001,8,12,1,0,2,1,"340800211282001"
"2115331",131630,96,0,1508145,1508170,18438,"TWA",34080021,53,0,3408,3,"NULL",18438,"N",1,34080021,3408,3,24.6247,-81.9823,2001-08-12,"0","0","48","17","2","4","NULL","0",2001,8,12,0,0,1,0,"340800211282001"
"2115899",131631,96,0,1588837,1588873,18438,"TWA",34080001,17,0,3408,3,"NULL",18438,"N",1,34080001,3408,3,24.4813,-81.7077,2001-09-01,"32","32","48","11","2","3","NULL","2",2001,9,1,0,0,1,0,"34080001192001"
"2116467",131632,96,0,1588816,1588852,18438,"TWA",34080001,17,0,3408,3,"NULL",18438,"N",1,34080001,3408,3,24.4802,-81.7198,2001-09-01,"32","32","44","12","2","3","NULL","3",2001,9,1,0,0,1,0,"34080001192001"
"2117035",131637,96,0,1435255,1435279,19720,"TWA",34080001,53,0,3408,3,"NULL",19720,"N",1,34080001,3408,3,24.482,-81.7068,2001-07-14,"0","0","45","12","3","4","NULL","2",2001,7,14,0,0,1,0,"340800011472001"
"2117603",131675,96,0,1378348,1378361,10466,"TWA",34030023,53,0,3403,3,"NULL",10466,"N",1,34030023,3403,3,0,0,2001-05-26,"84","78","56","14","3","4","NULL","3",2001,5,26,0,0,1,0,"baseline"
"2118171",131677,96,0,1378470,1378483,10466,"TWA",34030009,53,0,3403,3,"NULL",10466,"N",1,34030009,3403,3,0,0,2001-05-27,"0","77","60","9","4","4","NULL","3",2001,5,27,0,0,1,0,"340300092752001"
"2118739",131679,96,0,1378809,1378822,10466,"TWA",34030009,53,0,3403,3,"NULL",10466,"N",1,34030009,3403,3,0,0,2001-05-27,"86","78","58","14","4","4","NULL","3",2001,5,27,0,0,1,0,"340300092752001"
"2119307",131680,96,0,1378607,1378620,10466,"TWA",34030008,53,0,3403,3,"NULL",10466,"N",1,34030008,3403,3,0,0,2001-05-27,"0","77","60","16","3","4","NULL","3",2001,5,27,0,0,1,0,"baseline"
"2119875",131681,96,0,1378672,1378685,10466,"TWA",34030008,53,0,3403,3,"NULL",10466,"N",1,34030008,3403,3,0,0,2001-05-28,"78","77","58","9","4","4","NULL","2",2001,5,28,0,0,1,0,"baseline"
"2120443",131682,96,0,1378743,1378756,10466,"TWA",34030011,53,0,3403,3,"NULL",10466,"N",1,34030011,3403,3,0,0,2001-05-28,"0","77","57","11","4","4","NULL","1",2001,5,28,0,0,1,0,"baseline"
"2121011",131691,96,0,2147767,2149742,10466,"TWA",34030038,53,0,3403,3,"NULL",10466,"E",1,34030038,3403,3,0,0,2002-08-13,"0","81","30","10","4","9","NULL","3",2002,8,13,0,1,1,0,"340300381382002"
"2121579",131698,96,2,1853442,1855404,10466,"TWA",34100015,64,0,3410,3,"NULL",10466,"E",1,34100015,3410,3,0,0,2002-04-12,"75","76","64","9","3","3","NULL","1",2002,4,12,1,1,3,2,"baseline"
"2122147",131699,96,2,1853501,1855463,10466,"TWA",34100030,64,0,3410,3,"NULL",10466,"E",1,34100030,3410,3,0,0,2002-04-12,"75","76","60","11","2","6","NULL","2",2002,4,12,1,1,3,2,"baseline"
"2122715",131700,96,0,1853533,1855495,10466,"TWA",34100017,53,0,3410,3,"NULL",10466,"E",1,34100017,3410,3,0,0,2002-04-12,"0","75","49","14","3","9","NULL","2",2002,4,12,0,1,1,0,"baseline"
"2123283",131703,96,1,1853710,1855672,10466,"TWA",34100056,64,0,3410,3,"NULL",10466,"E",1,34100056,3410,3,24.6797,-83,2002-04-13,"0","75","51","14","4","8","NULL","3",2002,4,13,1,1,2,1,"baseline"
"2123851",131704,96,0,1853744,1855706,10466,"TWA",34100016,53,0,3410,3,"NULL",10466,"E",1,34100016,3410,3,0,0,2002-04-13,"0","73","52","16","4","8","NULL","2",2002,4,13,0,1,1,0,"341000161342002"
"2124419",131707,96,0,1853385,1855347,2948,"TWA",34100016,53,0,3410,3,"NULL",2948,"N",1,34100016,3410,3,0,0,2002-04-13,"78","78","45","14","3","8","NULL","3",2002,4,13,0,0,1,0,"341000161342002"
"2124987",131708,96,0,1833088,1835050,10466,"TWA",34030038,54,0,3403,3,"NULL",10466,"E",1,34030038,3403,3,0,0,2002-04-22,"81","76","29","14","4","14","NULL","2",2002,4,22,0,1,1,0,"340300382242002"
"2125555",131711,96,0,1832113,1834075,10466,"TWA",34030075,53,0,3403,3,"NULL",10466,"E",1,34030075,3403,3,0,0,2002-04-23,"86","76","53","14","3","9","NULL","3",2002,4,23,0,1,1,0,"340300752342002"
"2126123",131712,96,0,1832826,1834788,10466,"TWA",34030011,53,0,3403,3,"NULL",10466,"E",1,34030011,3403,3,0,0,2002-04-24,"0","78","66","15","3","5","NULL","3",2002,4,24,0,1,1,0,"340300112442002"
"2126691",131718,96,0,2139051,2141026,10466,"TWA",34030038,53,0,3403,3,"NULL",10466,"E",1,34030038,3403,3,0,0,2002-09-18,"0","83","30","9","5","10","NULL","1",2002,9,18,0,1,1,0,"340300381892002"
"2127259",131720,96,0,2147380,2149355,10466,"TWA",34030011,53,0,3403,3,"NULL",10466,"E",1,34030011,3403,3,0,0,2002-08-13,"0","81","60","11","4","6","NULL","3",2002,8,13,0,1,1,0,"340300111382002"
"2127827",131725,96,0,1379503,1379516,5474,"TWA",34030023,53,0,3403,3,"NULL",5474,"E",1,34030023,3403,3,0,0,2001-06-03,"80","80","90","11","4","3","NULL","3",2001,6,3,0,1,1,0,"34030023362001"
"2128395",131728,96,0,1379203,1379216,11,"TWA",34030011,53,0,3403,3,"NULL",11,"E",1,34030011,3403,3,0,0,2001-06-03,"80","80","50","16","4","5","NULL","3",2001,6,3,0,1,1,0,"34030011362001"
"2128963",131729,96,0,1379120,1379133,11,"TWA",34030009,53,0,3403,3,"NULL",11,"E",1,34030009,3403,3,0,0,2001-06-03,"80","80","60","14","5","5","NULL","3",2001,6,3,0,1,1,0,"34030009362001"
"2129531",131744,96,0,1776044,1777549,8521,"TWA",34030031,53,0,3403,3,"NULL",8521,"N",1,34030031,3403,3,0,0,2002-03-13,"76","75","45","11","3","4","NULL","3",2002,3,13,0,0,1,0,"baseline"
"2130099",131745,96,0,1679877,1681373,7716,"TWA",34040002,53,0,3404,3,"NULL",7716,"N",1,34040002,3404,3,0,0,2001-11-13,"78","78","50","10","3","4","NULL","3",2001,11,13,0,0,1,0,"baseline"
"2130667",131754,96,0,1683549,1685045,21665,"TWA",34030009,53,0,3403,3,"NULL",21665,"N",1,34030009,3403,3,0,0,2001-09-25,"84","84","47","9","3","4","NULL","2",2001,9,25,0,0,1,0,"340300092592001"
"2131235",131755,96,0,1683607,1685103,21666,"TWA",34030009,53,0,3403,3,"NULL",21666,"N",1,34030009,3403,3,0,0,2001-09-25,"84","84","47","9","3","4","NULL","3",2001,9,25,0,0,1,0,"340300092592001"
"2131803",131758,96,0,1683638,1685134,21666,"TWA",34030009,53,0,3403,3,"NULL",21666,"N",1,34030009,3403,3,0,0,2001-09-23,"84","0","42","13","3","4","NULL","2",2001,9,23,0,0,1,0,"340300092392001"
"2132371",131759,96,0,1683579,1685075,21665,"TWA",34040002,53,0,3404,3,"NULL",21665,"N",1,34040002,3404,3,0,0,2001-09-25,"84","84","42","13","3","4","NULL","2",2001,9,25,0,0,1,0,"baseline"
"2132939",131823,96,2,1529159,1529184,20933,"TWA",34100030,64,0,3410,3,"NULL",20933,"N",1,34100030,3410,3,0,0,2001-07-07,"86","84","50","10","4","5","NULL","3",2001,7,7,1,0,3,2,"34100030772001"
"2133507",131824,96,2,1529498,1529523,10468,"TWA",34100030,64,0,3410,3,"NULL",10468,"N",1,34100030,3410,3,0,0,2001-07-06,"86","84","47","10","3","6","NULL","2",2001,7,6,1,0,3,2,"34100030672001"
"2134075",131825,96,2,1529067,1529092,20930,"TWA",34100030,64,0,3410,3,"NULL",20930,"N",1,34100030,3410,3,0,0,2001-07-06,"86","84","50","10","4","7","NULL","2",2001,7,6,1,0,3,2,"34100030672001"
"2134643",131826,96,2,1528552,1528577,20932,"TWA",34100030,64,0,3410,3,"NULL",20932,"N",1,34100030,3410,3,0,0,2001-07-06,"85","85","60","10","3","7","NULL","2",2001,7,6,1,0,3,2,"34100030672001"
"2135211",131827,96,2,1529132,1529157,20937,"TWA",34100030,64,0,3410,3,"NULL",20937,"N",1,34100030,3410,3,0,0,2001-07-05,"85","82","70","10","4","6","NULL","3",2001,7,5,1,0,3,2,"baseline"
"2135779",131828,96,0,1529180,1529205,20933,"TWA",34100004,17,0,3410,3,"NULL",20933,"N",1,34100004,3410,3,0,0,2001-07-07,"92","85","41","11","2","7","NULL","2",2001,7,7,0,0,1,0,"baseline"
"2136347",131829,96,0,1528574,1528599,20932,"TWA",34100004,53,0,3410,3,"NULL",20932,"N",1,34100004,3410,3,0,0,2001-07-06,"85","85","60","12","2","7","NULL","2",2001,7,6,0,0,1,0,"34100004672001"
"2136915",131830,96,1,1529140,1529165,20937,"TWA",34100004,64,0,3410,3,"NULL",20937,"N",1,34100004,3410,3,0,0,2001-07-05,"85","81","67","12","3","7","NULL","2",2001,7,5,1,0,2,1,"baseline"
"2137483",131838,96,0,1529395,1529420,10468,"TWA",34100015,53,0,3410,3,"NULL",10468,"N",1,34100015,3410,3,0,0,2001-07-06,"46","84","52","8","3","3","NULL","2",2001,7,6,0,0,1,0,"34100015672001"
"2138051",131839,96,1,1529455,1529480,10468,"TWA",34100004,64,0,3410,3,"NULL",10468,"N",1,34100004,3410,3,0,0,2001-07-06,"87","85","34","12","2","7","NULL","2",2001,7,6,1,0,2,1,"34100004672001"
"2138619",131840,96,0,1528496,1528521,20931,"TWA",34100015,53,0,3410,3,"NULL",20931,"N",1,34100015,3410,3,0,0,2001-07-06,"86","84","32","8","3","3","NULL","2",2001,7,6,0,0,1,0,"34100015672001"
"2139187",131841,96,0,1529077,1529102,20933,"TWA",34100015,53,0,3410,3,"NULL",20933,"N",1,34100015,3410,3,0,0,2001-07-06,"85","84","38","8","3","4","NULL","2",2001,7,6,0,0,1,0,"34100015672001"
"2139755",131911,96,0,1508546,1508571,17962,"TWA",34080003,10,0,3408,3,"NULL",17962,"N",1,34080003,3408,3,24.449,-81.855,2001-08-22,"87","84","50","17","3","3","NULL","3",2001,8,22,0,0,1,0,"baseline"
"2140323",131912,96,0,1508479,1508504,17962,"TWA",34080004,53,0,3408,3,"NULL",17962,"N",1,34080004,3408,3,24.4508,-81.8778,2001-08-22,"87","85","45","15","3","3","NULL","3",2001,8,22,0,0,1,0,"baseline"
